ДДТ_Что такое осень_русский,рок_21
Чиж&Ко_Снова поезд_русский,рок_22
Пугачева_Осторожно листопад_русская,поп_25
Децл_Вечеринка у Децла дома_русская,поп_26
Круг Михаил_Владимирский централ_русский,шансон_27
Бутырка_Запахло весной_русский, шансон_28
Наив_Суперзвезда_русский, рок_29
Queen_Show must go on_иностранный, рок_30
Deep Purple_Smoke on the water_иностранный, рок_31
Led Zeppelin_Immigrant Song_иностранный, рок_32
Black Sabbath_Iron man_иностранный. рок_33
Pink Floyd_Another brick in the wall_иностранный, рок_35
